项目参与人,项目参与人所在单位
苏海健,中国矿业大学
孟波,中国矿业大学
尹乾,中国矿业大学
杜明瑞,中国矿业大学
张晶,中国矿业大学
李光雷,中国矿业大学
刘成林,南昌大学
祝鹏,南昌大学
袁冬阳,南昌大学
张带琴,南昌大学
皮家骏,南昌大学
王进,浙江大学
徐凡,浙江大学
王伟,浙江大学
党渊渊,浙江大学
姚杰,浙江大学
桑子涵,浙江大学
白玉龙,浙江大学
彭理仁,浙江大学
马海波,三峡大学
郭家力,三峡大学
韦能,三峡大学
周栋,三峡大学
杨正兵,中国航发四川燃气涡轮研究院
陈博,西北工业大学
贾志旭,吉林大学
张宗达,吉林大学
国旗,吉林大学
明昕宇,吉林大学
崔丁元,吉林大学
雷成秀,吉林大学
朱兴业,江苏大学
张帆,江苏大学
汤攀,江苏大学
许正典,江苏大学
肖思强,江苏大学
孙丽萍,安徽师范大学
赵传信,安徽师范大学
徐致云,安徽师范大学
郑孝遥,安徽师范大学
俞庆英,安徽师范大学
胡桂银,安徽师范大学
邓劲松,安徽师范大学
邢凯,安徽师范大学
宁雪莉,安徽师范大学
