专利名称,发明人,编号,依托机构,所属项目
19.基于改进UNet++的视网膜血管图像分割方法,王江峰;刘利军;冯旭鹏;黄青松,专利编号：202011308230.6,昆明理工大学,面向大规模医学图像及诊断报告的跨模态检索关键技术研究；
20.一种纳米级药物颗粒制备装置,封海波;樊静;张琳梓;刘前虔;冯洋洋;吴代燕,专利编号：ZL202022370065.9,西南民族大学,DEC-205受体介导的树突状细胞靶向杜仲多糖纳米粒的佐剂活性及分子机理研究；
21.基于卷积神经网络对肺结节的恶性程度进行分类的方法,黄青松;段彦隆;赵晓乐;刘利军;冯旭鹏;傅铁威,专利编号：201910490546.2,昆明理工大学,面向大规模医学图像及诊断报告的跨模态检索关键技术研究；
22.基于FDR的无线土壤墒情检测装置,李晓鹏;杨坤;王晟;刘建立;张佳宝,专利编号：ZL202120374580.6,中国科学院南京土壤研究所,施用有机物料对潮土结构演变的影响机制研究；
23.一种用于玻璃防护的透明保温聚脲涂层材料及其制备方法,郭辉;周自荣;陈玉,专利编号：202110798595.X,西南科技大学,冲击荷载作用下典型聚脲涂覆防护结构的动态响应与失效机理；
24.一种转炉喷补出钢口辅助装置及方法,王林珠;李翔;李长荣;庄昌凌;龙潇,专利编号：202210347881.9,贵州大学,高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究；
25.基于综合特征表示与改进宽深度模型的相似病例推荐方法,黄青松;杨承启;王艺平;刘利军;冯旭鹏,专利编号：201910490881.2,昆明理工大学,面向大规模医学图像及诊断报告的跨模态检索关键技术研究；
26.一种深度强相关哈希学习的大规模图像检索方法,黄青松;单文琦;刘利军;冯旭鹏,专利编号：201911321749.5,昆明理工大学,面向大规模医学图像及诊断报告的跨模态检索关键技术研究；
27.一种基于多阶段最大化注意力的多项选择机器阅读理解的方法,颜洪;黄青松;刘利军;冯旭鹏,专利编号：202011590554.3,昆明理工大学,面向大规模医学图像及诊断报告的跨模态检索关键技术研究；
28.基于多视图、多尺度、多任务肺结节分类方法,黄青松;张帅威;刘利军;冯旭鹏,专利编号：201911354214.8,昆明理工大学,面向大规模医学图像及诊断报告的跨模态检索关键技术研究；
29.种传感器网络节点邻居发现方法及系统,朱红松; 陈良银; 郭振乾; 张靖宇; 陈永乐,专利编号：,中国科学院信息工程研究所,基于无线环境认知的多网络优化共存关键技术研究；
30.土壤墒情检测装置,李晓鹏;杨坤;王晟;刘建立;张佳宝,专利编号：ZL202130096875.7,中国科学院南京土壤研究所,融合宇宙射线中子法和无人机遥感的中尺度土壤水分反演方法研究；
31.基于钙钛矿纳米晶的γ射线闪烁转换屏的制备方法,张志军;杨珩;李乾利;李慧慧,专利编号：CN202110447448.8,上海大学,基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究；
32.基于实体关系标注策略的中医电子病历实体关系提取方法,黄青松;陈尧文;谢先章;刘利军;冯旭鹏,专利编号：201910490550.9,昆明理工大学,面向大规模医学图像及诊断报告的跨模态检索关键技术研究；
33.探针式土壤墒情传感器,李晓鹏;杨坤;王晟;刘建立;张佳宝,专利编号：ZL202120370842.1,中国科学院南京土壤研究所,施用有机物料对潮土结构演变的影响机制研究；
34.一种功能性纳米微球的制备装置,封海波;樊静;张琳梓;刘前虔;冯洋洋;吴代燕,专利编号：ZL202022466280.9,西南民族大学,DEC-205受体介导的树突状细胞靶向杜仲多糖纳米粒的佐剂活性及分子机理研究；
35.一种用于微波动力治疗肿瘤的微球及其制备方法和应用,孟宪伟;夏娜;谭龙飞;付长慧;吴琼;任湘菱,专利编号：ZL2019 10047152.X,中国人民解放军总医院,微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究；
37.一种裂隙试样制备方法,卢景景;谢业统;周辉;张传庆;胡大伟;龚春艳;韩钢,专利编号：ZL201810312644.2,中国科学院武汉岩土力学研究所,考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究；
38.实现地质探测的组合式TBM及地质探测掘进方法,卢景景;龚春艳;周辉;张传庆;杨凡杰;胡大伟;高阳;杨艳霜,专利编号：ZL201810555095.1,中国科学院武汉岩土力学研究所,考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究；
39.基于知识图谱的施工行为安全风险分析与危险点识别的方法,龙丹冰;魏君豪;杨成,专利编号：ZL202110674797.3,西南交通大学,基于BIM的建筑结构设计知识本体及推演方法；
40.玉米醇溶蛋白/阿拉伯胶复合纳米颗粒及其制备方法,方亚鹏;宋静如;孙翠霞;张俊威;熊哲强,专利编号：CN201910334696.4,湖北工业大学,蛋白质聚集状态影响蛋白质/多糖静电复合及界面/乳化特性的机制研究；
41.玉米醇溶蛋白/阿拉伯胶复合纳米颗粒及其制备方法,方亚鹏;宋静如;孙翠霞;张俊威;熊哲强,专利编号：CN201910334696.4,湖北工业大学,蛋白质聚集状态影响蛋白质/多糖静电复合及界面/乳化特性的机制研究；
42.基于个体化临床特征构建的评估类风湿性关节炎脑卒中风险的预测模型,付凌雨;辛芳冉,专利编号：2020111024132,中国医科大学,基于贝叶斯方法整合临床与基因数据的类风湿关节炎预后风险模型研究；
43.基于人工智能融合多模态信息构建肺结节良恶性的多种病理类型的诊断模型,董恩清;金叶;纪慧中;倪天骄;薛鹏;傅宇;曹海;崔文韬,专利编号：202010402866.0,山东大学,肺部4D CT图像的高精度非刚性配准算法研究；
44.实现卡机脱困的组合式TBM及卡机脱困掘进方法,卢景景;龚春艳;周辉;张传庆;高阳;杨凡杰;朱勇;杨艳霜,专利编号：ZL201810554818.6,中国科学院武汉岩土力学研究所,硬脆性岩石强度演化特征与深埋岩体长期强度研究；
45.乳腺癌新辅助化疗后病理完全缓解概率预测方法及系统,宋尔卫;龚畅;沈君;杨雅平;程子亮;林婉仪,专利编号：202011155176.6,中山大学,lncRNA DRIALA调控自噬介导的乳腺癌细胞凋亡的机制研究；
46.一种平面抛光方法,周佩剑;颜朝寿;蒋豪杰;牟介刚,专利编号：ZL201910489131.3,中国计量大学,离心泵叶轮内失速涡的触发机理及动力学特性研究；
47.用于提供冠心病延续性护理的远程医疗系统及方法,吴瑛;陈玉玲;邓颖;吴芳琴;岳鹏;刘溢思;张艳,专利编号：201910806874.9,首都医科大学,冠心病患者健康行为模型及移动健康管理模式的构建与实证研究；
48.基于Abaqus平台疲劳损伤与寿命评估方法,张宏;王清远;刘永杰;王宠;李浪,专利编号：201910507043.1,四川大学,高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究；
49.一种基于粒子群算法水库多目标供水能力优化方法,林鹏飞;游进军;贾玲;蒋云钟;方国华;汪林;薛志春;付敏;刘鼎;闫腾;姚懿真,专利编号：201910696110.9,北京市水科学技术研究院,基于集合降雨预报和可变模糊集的洪水预报方法研究；
50.一种确定低扬程输水系统停泵事故泵后阀门关闭规律的方法,陈胜;张健;范呈昱;许听雨;俞晓东;张磊,专利编号：ZL201910331654.5,河海大学,准静态边界条件对输水系统水锤压力的影响研究；
51.分散式挑流消能工冲坑深度的预测方法,胡晗,专利编号：ZLSQ2020122,长江水利委员会长江科学院,梯形琴键堰泄流能力影响因素及其敏感性研究；
52.一种便捷的堤坝临水侧渗漏定位装置,李宗坤;莫向明;施雯珂;葛巍;张亚东,专利编号：ZL202020168723.3,郑州大学,中国水库大坝风险后果分析模型研究；
53.一种用于河道建筑物的鱼嘴型防洪装置,薛志春;邸苏闯;潘兴瑶;刘洪禄;李永坤;于磊;邱颖;杨思敏;赵飞;王丽晶;卢亚静;周星;张岑;张冠宇,专利编号：202021848567.1,北京市水科学技术研究院,基于集合降雨预报和可变模糊集的洪水预报方法研究；
54.一种用于检测河道防汛水位的监测预警系统,薛志春;邸苏闯;潘兴瑶;刘洪禄;李永坤;张书函;王丽晶;张岑;周星;卢亚静;于磊;邱颖;杨思敏;赵曦月,专利编号：202021848504.6,北京市水科学技术研究院,基于集合降雨预报和可变模糊集的洪水预报方法研究；
55.一种基于二层结构的流域生态调度方法,游进军;薛志春;林鹏飞;牛存稳;魏娜;贺华翔;马真臻;杨朝晖;王婷,专利编号：201910625887.6,中国水利水电科学研究院,基于集合降雨预报和可变模糊集的洪水预报方法研究；
56.一种用于雨水箅子的防溢流装置,薛志春;邸苏闯;潘兴瑶;刘洪禄;李永坤;张岑;邱颖;于磊;张书函;周星;张冠宇;赵羲月,专利编号：202021831871.5,北京市水科学技术研究院,基于集合降雨预报和可变模糊集的洪水预报方法研究；
57.一种数字孪生驱动的复杂装备故障预测方法,陶飞;王雨澄;左颖;黄巍,专利编号：ZL201911163211.6,北京航空航天大学,基于数字孪生的复杂产品生命周期能效评估理论与优化方法；
58.基于图数据库的机械产品数字孪生模型分层建模方法,田凌;郑孟蕾;代菁洲;刘思超,专利编号：202010732265.6,清华大学,稀疏设计空间压缩原理与演进式设计智能创成方法研究；
59.一种用于城市道路的分布式排水装置,薛志春;邸苏闯;潘兴瑶;刘洪禄;李永坤;张书函;于磊;卢亚静;杨思敏;赵飞;张岑;王丽晶;周星;孙冉,专利编号：202021935042.1,北京市水科学技术研究院,基于集合降雨预报和可变模糊集的洪水预报方法研究；
60.分布式堤防安全监测系统,薛志春;邸苏闯;潘兴瑶;刘洪禄;李永坤;张书函;孙冉;邱颖;张岑;卢亚静;王丽晶;赵飞,专利编号：202021893191.6,北京市水科学技术研究院,基于集合降雨预报和可变模糊集的洪水预报方法研究；
61.一种确定低扬程加压系统停泵事故泵后阀门关闭规律的方法,陈胜;张健;范呈昱;许听雨;俞晓东;张磊,专利编号：ZL201910331653.0,河海大学,准静态边界条件对输水系统水锤压力的影响研究；
62.一种用于路基监测的沉降板,聂如松;冷伍明;程龙虎;董俊利;魏广帅;杨奇;徐方;梅慧浩;赵春彦;杜市委,专利编号：ZL201821604041.1,中南大学,真空—堆载联合预压下塑料排水板地基的侧向变形机理与预测方法研究；
63.水稻作物系数计算方法以及水稻灌溉系统,刘路广;吴瑕;关洪林;崔远来;潘少斌;杨小伟;王剑;焦平金;董苇;张建涛;陈绪勋,专利编号：202010446542.7,湖北省水利水电科学研究院,稻田水氮耦合尺度效应及其机理；
64.一种复杂形态土料场开挖量计算方法,胡超;陈媛媛;陈廷才;徐盛,专利编号：CN201910512253.X,三峡大学,高拱坝施工缆机安全运行路径实时规划与智能调控；
65.试管清洗装置,刘晓娜;杨改强;霍丽娟;王婷,专利编号：ZL201821248129.4,太原科技大学,纳米水铁矿在土壤中的稳定性及其与砷的协同迁移机制；
66.一种钢筋表面纳米化复合涂层及其制备方法与应用,黎颖;张留艳;揭晓华;麦永津,专利编号：ZL201710240018.2,广东工业大学,带温大塑性变形制备超细/纳米晶双相不锈钢及其在深海环境下的冲刷腐蚀特性研究；
67.一种路基沉降监测装置,聂如松;董俊利;魏广帅;冷伍明;程龙虎;杨奇;徐方;梅慧浩;赵春彦;杜市委,专利编号：ZL201821604014.4,中南大学,真空—堆载联合预压下塑料排水板地基的侧向变形机理与预测方法研究；
68.混凝土拱坝缆机运行轨迹线规划方法,胡超;陈廷才;周宜红,专利编号：202011358325.9,三峡大学,高拱坝施工缆机安全运行路径实时规划与智能调控；
69.一种全贯流式水轮机扭矩测量装置及方法,杨春霞;侯舢舢;赵梦晌;姚婷婷;陈会向,专利编号：201910588699.0,河海大学,基于潮汐发电贯流式水轮机水动力特性的过鱼伤害机理研究；
70.一种基于多维信息模型的土料场开采规划方法,胡超;王忠耀;周宜红;喻葭临;杨泽艳;陈媛媛,专利编号：CN201910512246.X,三峡大学,高拱坝施工缆机安全运行路径实时规划与智能调控；
71.一种土石坝填筑料移动补水装置及方法,胡超;陈媛媛;杨泽艳;喻葭临;王忠耀,专利编号：CN201910512265.2,三峡大学,高拱坝施工缆机安全运行路径实时规划与智能调控；
72.用于汽车消声器的一体式旋转操作装置,蒋玲;张超;贾冕茜;邓延安;熊良林;张华峰;王俊佳;何乐乐,专利编号：ZL 2018 1 0465877.6,云南民族大学,具有加性时变时滞和马尔科夫跳跃的中立型动力系统的稳定与控制；
73.一种混凝土早龄期热膨胀系数多尺度模型的预测方法,曹秀丽;叶罡;李强;李蓓;孙平平,专利编号：202010318031.7,浙江水利水电学院,水工混凝土早龄期热膨胀系数的多尺度预测模型；
74.一种带有渐密孔的凸型导板水车增能装置,杨春霞;张振;胡岩;赵梦晌;丁艳;刘惠文,专利编号：202010622208.2,河海大学,基于潮汐发电贯流式水轮机水动力特性的过鱼伤害机理研究；
75.一种中碳钢表面微纳米多尺度结构的制备方法,罗松;揭晓华;麦永津;张留艳;郑琼彬;张艳梅,专利编号：ZL201610615931.1,广东工业大学,带温大塑性变形制备超细/纳米晶双相不锈钢及其在深海环境下的冲刷腐蚀特性研究；
76.一种剑桥自钻式旁压仪钻头钻进速度测量装置,王斌;周傲;李建国,专利编号：201921320611.9,中国科学院武汉岩土力学研究所,降雨诱发土质滑坡大变形破坏机制分析与致灾范围预测；
77.新型疫苗佐剂及其在新冠肺炎疫苗和其他疫苗中的应用,李艳梅;吴军军;张伯斗;胡洪果;李文浩;赵朗;陈永湘,专利编号：202010411675.0[P],清华大学,新型免疫刺激剂的设计、合成及免疫评价；
78.消声器筒体的旋转翻边装置,蒋玲;徐琬婷;张超;余红英;熊良林;王子阳;吴伟越;肖志玉,专利编号：ZL. 2018 1 0529968.1,云南民族大学,具有加性时变时滞和马尔科夫跳跃的中立型动力系统的稳定与控制；
79.一种碳钢表面处理方法,吴桐;刁铮亮;蒋俊杰;黎颖;张留艳,专利编号：ZL201710882089.2,广东工业大学,带温大塑性变形制备超细/纳米晶双相不锈钢及其在深海环境下的冲刷腐蚀特性研究；
80.边坡开挖数字化施工与质量控制方法,胡超;周宜红;潘志国,专利编号：CN201910459411.X,三峡大学,高拱坝施工缆机安全运行路径实时规划与智能调控；
81.一种用于集体宿舍的污水分类过滤再利用装置,杜雅楠;杨改强;罗煜清;靳浩堂,专利编号：ZL201921967382.X,太原科技大学,不确定条件下半湿润偏旱灌区多目标水资源优化配置模型和应用研究；
82.一种裂隙网络剪切-两相流试验装置及试验方法,刘日成;蔚立元;靖洪文;尹乾;韩观胜;李博,专利编号：CN202010704189.8,中国矿业大学,基于分形理论的三维岩体裂隙网络非线性渗流机理研究；
83.一种真空-堆载联合预压下塑料排水板地基的模型试验装置,徐方;韩諝;冷伍明;聂如松;杨奇,专利编号：ZL201922186735.9,中南大学,真空—堆载联合预压下塑料排水板地基的侧向变形机理与预测方法研究；
84.一种小便池新型节水装置,闫峰;宋凡超;吴诗琪;杨雨欣;王昕;周修龙,专利编号：ZL202020334684.X,南昌大学,基于函数型数据分析的鄱阳湖水资源短缺动态综合评价模型研究；
85.基于双机械臂协作打磨系统的动力学模型设计方法,翟安邦;王进;陆国栋;戚仁杰;张海运;杨鹏程,专利编号：201911215079.9,浙江大学,弱刚度工件的多机械臂协调加工方法研究；
86.一种大体积混凝土浇筑预防冷缝的施工控制方法,胡超;陈媛媛,专利编号：CN201910512252.5,三峡大学,高拱坝施工缆机安全运行路径实时规划与智能调控；
87.一种混凝土坝缆机入仓轨迹规划与控制方法,胡超;陈廷才;周宜红,专利编号：202011367234.1,三峡大学,高拱坝施工缆机安全运行路径实时规划与智能调控；
88.一种计算自然流域植物截流量的方法,王煜;常文娟;马海波;严登华;董鑫;房昊天,专利编号：ZL201911006974.X,三峡大学,区域抗旱自适应能力形成机制与定量评估方法研究；
89.微纳结构的耐高温法布里-珀罗腔传感结构及系统,郑永秋;田振男;薛晨阳;于永森;孙鹏;国旗;陈坤;陈晨;武丽云;陈佳敏;韩源,专利编号：CN202110174070.9,中北大学,面向航空发动机苛刻环境光纤传感的关键科学问题研究；
90.一种硬化水泥砂浆热膨胀系数的多尺度预测方法,曹秀丽;高健;杜文学;吴倩;赵梦雅;张优格;胡丽晓;黄诗如,专利编号：202010317379.4,浙江水利水电学院,水工混凝土早龄期热膨胀系数的多尺度预测模型；
91.一种基于径向基点插值法求解渗流自由面的优化算法,王斌;李建国;周傲,专利编号：201910751033.2,中国科学院武汉岩土力学研究所,降雨诱发土质滑坡大变形破坏机制分析与致灾范围预测；
92.一种声波地下管道探测装置,闫峰;宋凡超;杨振;李佳豪;任大睿,专利编号：ZL202020312634.1,南昌大学,基于函数型数据分析的鄱阳湖水资源短缺动态综合评价模型研究；
93.自然流域划分法中确定子流域降雨量时空分布的方法,常文娟;马海波;严登华;肖尚斌;雷晓辉;董晓华;李俊美;纪道斌;徐刚;刘冀;彭涛;李英海;董鑫,专利编号：ZL201910048324.5,三峡大学,区域抗旱自适应能力形成机制与定量评估方法研究；
94.确定地下滴灌管上式滴头流量及土壤水正压的测定装置,王剑;杨婷;魏涛;陈瑞;张发坤,专利编号：202010968932.0,江苏大学,地下滴灌多孔出流特性及均匀度数值模型研究；
95.基于轨迹大数据的轨迹异常检测方法,章海燕;罗永龙;俞庆英;孙振强;李雪静,专利编号：CN111949896A,安徽师范大学,基于位置服务的地理社交网络模型构建及隐私保护方法研究；
96.一种计算自然流域表面坑洼滞蓄量的方法,马海波;常文娟;王煜;严登华;董鑫;房昊天,专利编号：ZL201911006117.X,三峡大学,区域抗旱自适应能力形成机制与定量评估方法研究；
97.一种硬化混凝土热膨胀系数的多尺度预测方法,曹秀丽;叶罡;高健;杜文学;陈敏志,专利编号：202010317400.0,浙江水利水电学院,水工混凝土早龄期热膨胀系数的多尺度预测模型；
98.一种用于裂隙网络剪切渗流试验装置及其试验方法,刘日成;尹乾;靖洪文;蔚立元;韩观胜;蒋宇静,专利编号：CN202010704155.9,中国矿业大学,基于分形理论的三维岩体裂隙网络非线性渗流机理研究；
99.一种基于Logistic的抗旱适宜供水量确定方法,常文娟;梁忠民;胡义明;马海波;朱士江;林青霞,专利编号：ZL201910032841.3,三峡大学,区域抗旱自适应能力形成机制与定量评估方法研究；
100.一种基于益本比函数的适宜抗旱能力分析方法,常文娟;马海波;梁忠民;严登华;雷晓辉;王浩;朱士江;孙爱华;郑霞忠;林青霞;董鑫,专利编号：ZL201910048567.9,三峡大学,区域抗旱自适应能力形成机制与定量评估方法研究；
