项目名称,成果标题
面向大规模医学图像及诊断报告的跨模态检索关键技术研究,基于多层聚焦Inception-V3卷积网络的细粒度图像分类
面向大规模医学图像及诊断报告的跨模态检索关键技术研究,一种基于词性增量迭代的在线医疗文本症状识别方法
面向大规模医学图像及诊断报告的跨模态检索关键技术研究,面向肺结节多语义特征分类的不确定性多任务损失方法
面向大规模医学图像及诊断报告的跨模态检索关键技术研究,面向大规模图像检索的深度强相关散列学习方法
面向大规模医学图像及诊断报告的跨模态检索关键技术研究,基于SHN模型的商品图像检索方法
面向大规模医学图像及诊断报告的跨模态检索关键技术研究,基于多视图、多尺度、多任务肺结节分类方法
高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究,高碳硬线钢中B类夹杂物的形成与控制技术
高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究,镧对高碳硬线钢中氧化铝夹杂物改性的研究
高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究,HRB500E抗震钢筋中钛化物析出热力学分析
高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究,Nb/V 复合强化对高强度钢筋显微组织和性能的影响
高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究,氧化铝/二氧化铈X射线衍射及拉曼光谱研究
高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究,基于晶格匹配的非金属夹杂物变性过程研究
高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究,一种减少加废钢时粘渣的废钢槽及方法
高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究,钢中非金属夹杂物图像/图谱表征技术
高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究,高强抗震钢筋中铌的碳、氮化物析出热力学研究
高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究,镁处理高碳硬线钢中夹杂物
高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究,一种防止转炉加废钢时废钢槽滑落的装置及使用方法
高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究,SWRS82B钢中稀土元素对氧化铝改性的晶体学
高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究,稀土钇对 SWRS82B 硬线钢中 B 类夹杂物的变性行为影响
高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究,高碳硬线钢中B类夹杂物变性研究现状与进展
高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究,稀土镧/钇复合处理钢中B类夹杂物研究
高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究,一种转炉喷补出钢口辅助装置及方法
高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究,铝元素含量对Fe-Mn-C-Al系TWIP钢中夹杂物的影响
高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究,镧对高碳硬线钢中Al2O3夹杂物改性的晶体学分析
高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究,氧化铝/氧化镧 X射线衍射及拉曼光谱研究
高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究,NbC对HRB500钢筋凝固过程中异质形核与晶粒 细化的影响
高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究,稀土镧对SWRS82B钢中氧化铝夹杂物的影响
高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究,HRB500E 钢中第二相 VC 的异质形核分析与晶粒细化
高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究,高钛含量对高强度抗震钢筋组织和力学性能的影响
高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究,钢中非金属夹杂物图像/图谱表征技术的研究与发展
DEC-205受体介导的树突状细胞靶向杜仲多糖纳米粒的佐剂活性及分子机理研究,一种纳米微球乳液合成装置
DEC-205受体介导的树突状细胞靶向杜仲多糖纳米粒的佐剂活性及分子机理研究,一种高压纳米脂质体膜挤出装置
DEC-205受体介导的树突状细胞靶向杜仲多糖纳米粒的佐剂活性及分子机理研究,手掌参多糖对60Co-γ射线辐射小鼠造血和抗氧化功能损伤的治疗作用研究
DEC-205受体介导的树突状细胞靶向杜仲多糖纳米粒的佐剂活性及分子机理研究,一种纳米级药物颗粒制备装置
DEC-205受体介导的树突状细胞靶向杜仲多糖纳米粒的佐剂活性及分子机理研究,PLGA 纳米粒作为药物载体的靶向作用研究进展
DEC-205受体介导的树突状细胞靶向杜仲多糖纳米粒的佐剂活性及分子机理研究,脂质立方液晶作为药物载体的靶向作用研究进展
DEC-205受体介导的树突状细胞靶向杜仲多糖纳米粒的佐剂活性及分子机理研究,一种功能性纳米微球的制备装置
施用有机物料对潮土结构演变的影响机制研究,融合无人机载激光雷达与多光谱遥感数据的冬小麦叶面积指数反演
施用有机物料对潮土结构演变的影响机制研究,基于全波段高光谱的冬小麦生长参数估算方法比较
施用有机物料对潮土结构演变的影响机制研究,种植物密度测量装置和种植物密度测量方法
施用有机物料对潮土结构演变的影响机制研究,基于GLUE的土壤溶质运移参数反演及不确定性
施用有机物料对潮土结构演变的影响机制研究,土壤检测装置和土壤含水量及容重检测方法
施用有机物料对潮土结构演变的影响机制研究,宇宙射线中子法在农田土壤水分监测中的适用性
施用有机物料对潮土结构演变的影响机制研究,激发式秸秆还田对麦季潮土团聚体中酶活性的影响
施用有机物料对潮土结构演变的影响机制研究,融合宇宙射线中子法和无人机遥感的中小尺度土壤水监测系统及方法
施用有机物料对潮土结构演变的影响机制研究,宇宙射线中子法在土壤水分监测研究中的应用进展
施用有机物料对潮土结构演变的影响机制研究,探针式土壤墒情传感器
施用有机物料对潮土结构演变的影响机制研究,基于FDR的无线土壤墒情检测装置
冲击荷载作用下典型聚脲涂覆防护结构的动态响应与失效机理,一种建筑材料切割装置
冲击荷载作用下典型聚脲涂覆防护结构的动态响应与失效机理,一种多带隙组合调控的混凝土超材料结构及其制备方法
冲击荷载作用下典型聚脲涂覆防护结构的动态响应与失效机理,一种耐伽玛射线辐照聚脲材料及其制备方法
冲击荷载作用下典型聚脲涂覆防护结构的动态响应与失效机理,功能性聚脲弹性体的制备及γ射线辐照对其性能的影响
冲击荷载作用下典型聚脲涂覆防护结构的动态响应与失效机理,一种用于泡沫铝的抗爆耐冲击聚脲涂料及其制备方法
冲击荷载作用下典型聚脲涂覆防护结构的动态响应与失效机理,一种用于玻璃防护的透明保温聚脲涂层材料及其制备方法
融合宇宙射线中子法和无人机遥感的中尺度土壤水分反演方法研究,宇宙射线中子法在土壤水分监测研究中的应用进展
融合宇宙射线中子法和无人机遥感的中尺度土壤水分反演方法研究,基于全波段高光谱的冬小麦生长参数估算方法比较
融合宇宙射线中子法和无人机遥感的中尺度土壤水分反演方法研究,融合无人机载激光雷达与多光谱遥感数据的冬小麦叶面积指数反演
融合宇宙射线中子法和无人机遥感的中尺度土壤水分反演方法研究,压缩感知理论在地学空间数据重构中的应用进展
融合宇宙射线中子法和无人机遥感的中尺度土壤水分反演方法研究,融合宇宙射线中子法和无人机遥感的中小尺度土壤水监测系统及方法
融合宇宙射线中子法和无人机遥感的中尺度土壤水分反演方法研究,种植物密度测量装置和种植物密度测量方法
融合宇宙射线中子法和无人机遥感的中尺度土壤水分反演方法研究,宇宙射线中子法在农田土壤水分监测中的适用性
融合宇宙射线中子法和无人机遥感的中尺度土壤水分反演方法研究,土壤墒情检测装置
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,高显指白光PiG荧光薄膜制备与激光照明应用
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,基于ZnO:In纳米棒阵列的X射线闪烁转换屏制备与性能研究
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,基于钙钛矿纳米晶的γ射线闪烁转换屏的制备方法
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,2020年度博士后科学基金获得者选介
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,通过Pr~(3+)掺杂SrZnOS实现应力发光颜色调控及其应力发光机理
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,中子探测用闪烁材料研究进展
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,Lu2Si2O7:Ce纳米晶的溶胶-凝胶法合成和闪烁性能
基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究,像素化结构的ZnO:Ga纳米棒阵列α粒子闪烁屏
微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究,微波消融治疗肿瘤免疫效应研究进展
微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究,微波消融辅助治疗股骨近端巨细胞瘤的应用研究
微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究,影像引导下经皮微波消融治疗骨转移癌性疼痛
微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究,一种可降解铋基微波诊疗试剂及其制备方法和应用
微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究,微波消融在四肢骨巨细胞瘤合并病理性骨折治疗中的应用
微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究,微波消融治疗肿瘤的免疫效应研究进展
微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究,肿瘤亲骨转移与代谢适应性研究进展
微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究,一种用于微波动力治疗肿瘤的微球及其制备方法和应用
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,岩石空心圆柱扭剪仪(工装机)
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,岩石拉压双面剪切试验装置
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,不同应力路径下灰砂岩力学特性与强度参数研究
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,一种裂隙试样制备方法
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,实现地质探测的组合式TBM及地质探测掘进方法
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,硬岩板裂化及其锚固机制
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,高应力、高水压耦合作用下水工隧洞安全评价关键技术
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,实现卡机脱困的组合式TBM及卡机脱困掘进方法
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,等体积空孔直眼掏槽槽腔形成过程及其分析
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,岩石多功能剪切试验测试装置
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,可伸缩式围压套筒及岩石力学试验仪器
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,拉应力作用下黑砂岩剪切破裂面粗糙度表征及各向异性特征研究
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,岩石空心圆柱扭剪仪
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,深部岩体复杂力学响应关键实验技术与装备
考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究,深部复合地层隧(巷)道TBM安全高效掘进控制关键技术
基于BIM的建筑结构设计知识本体及推演方法,一种以监测数据驱动的综合管廊运维动态风险评价方法
基于BIM的建筑结构设计知识本体及推演方法,以监测报警数据驱动的综合管廊运维动态风险评价
基于BIM的建筑结构设计知识本体及推演方法,基于知识图谱的施工行为安全风险分析与危险点识别的方法
基于BIM的建筑结构设计知识本体及推演方法,基于熵算法改进的故障树-云模型风险分析方法
基于BIM的建筑结构设计知识本体及推演方法,知识图谱改进的施工行为安全风险与危险位置识别算法
基于BIM的建筑结构设计知识本体及推演方法,基于熵算法改进的云模型和故障树古建筑风险分析方法
蛋白质聚集状态影响蛋白质/多糖静电复合及界面/乳化特性的机制研究,一种延缓鱼油氧化的乳液及其制备方法
蛋白质聚集状态影响蛋白质/多糖静电复合及界面/乳化特性的机制研究,玉米醇溶蛋白/阿拉伯胶复合纳米颗粒及其制备方法
蛋白质聚集状态影响蛋白质/多糖静电复合及界面/乳化特性的机制研究,一种蛋黄酱类似物及其制备方法
基于贝叶斯方法整合临床与基因数据的类风湿关节炎预后风险模型研究,基于个体化临床特征构建的评估类风湿性关节炎脑卒中风险的预测模型
基于贝叶斯方法整合临床与基因数据的类风湿关节炎预后风险模型研究,基于ARIMA时间序列模型的某医院急诊量预测分析及效果评价
基于贝叶斯方法整合临床与基因数据的类风湿关节炎预后风险模型研究,SAA4蛋白作为类风湿关节炎诊断标志物的应用、诊断或辅助诊断试剂盒中的应用
基于贝叶斯方法整合临床与基因数据的类风湿关节炎预后风险模型研究,TNF-α-308G/A 基因多态性与 TNF-α 抑制药治疗类风湿关节炎疗效相关性的 Meta 分析
肺部4D CT图像的高精度非刚性配准算法研究,一种在类球体区域约束下进行气管壁缺口封堵的肺气道树分割方法
肺部4D CT图像的高精度非刚性配准算法研究,基于卡尔曼滤波和4D CT图像配准的肺部呼吸运动估计方法
肺部4D CT图像的高精度非刚性配准算法研究,基于图像特征和光流场的非刚性图像配准
肺部4D CT图像的高精度非刚性配准算法研究,基于三维深度学习网络预测肺结节良恶性的多病理类型的分类方法
肺部4D CT图像的高精度非刚性配准算法研究,基于张量稀疏表示的拓扑结构维持的图像配准方法
肺部4D CT图像的高精度非刚性配准算法研究,一种基于模糊主动轮廓的鲁棒局部分割方法
肺部4D CT图像的高精度非刚性配准算法研究,基于人工智能融合多模态信息构建肺结节良恶性的多种病理类型的诊断模型
肺部4D CT图像的高精度非刚性配准算法研究,一种非刚性医学图像配准方法
肺部4D CT图像的高精度非刚性配准算法研究,一种基于窄带约束的几何活动轮廓模型局部分割方法
肺部4D CT图像的高精度非刚性配准算法研究,一种基于三维深度学习网络的肺结节良恶性预测方法
硬脆性岩石强度演化特征与深埋岩体长期强度研究,一种基于套孔应力解除法测量地应力时的激光定位装置
硬脆性岩石强度演化特征与深埋岩体长期强度研究,不同水岩作用下砂岩的力学参数演化特征
硬脆性岩石强度演化特征与深埋岩体长期强度研究,A Geo-Ecological Study and Application of Elastoplastic Damage Constitutive Model for Mudstone
硬脆性岩石强度演化特征与深埋岩体长期强度研究,实现卡机脱困的组合式TBM及卡机脱困掘进方法
硬脆性岩石强度演化特征与深埋岩体长期强度研究,实现岩爆预处理的组合式TBM及岩爆预处理掘进方法
硬脆性岩石强度演化特征与深埋岩体长期强度研究,高地应力硬脆性围岩开挖损伤区时滞性破坏案例分析——特征与机理
lncRNA DRIALA调控自噬介导的乳腺癌细胞凋亡的机制研究,乳腺癌新辅助化疗后病理完全缓解概率预测方法及系统
lncRNA DRIALA调控自噬介导的乳腺癌细胞凋亡的机制研究,一种预测致密型乳腺的乳腺病灶恶性风险模型及其构建方法
lncRNA DRIALA调控自噬介导的乳腺癌细胞凋亡的机制研究,一种环状RNA全长序列的检测方法
lncRNA DRIALA调控自噬介导的乳腺癌细胞凋亡的机制研究,评估Paget’s 病伴浸润性导管癌患者预后的模型及其应用
lncRNA DRIALA调控自噬介导的乳腺癌细胞凋亡的机制研究,乳腺癌循环肿瘤细胞miRNA和EMT标记物联合检测试剂盒及其应用
lncRNA DRIALA调控自噬介导的乳腺癌细胞凋亡的机制研究,一种预测ER+乳腺癌新辅助化疗效果的试剂盒和系统
离心泵叶轮内失速涡的触发机理及动力学特性研究,高抗汽蚀的自吸离心泵
离心泵叶轮内失速涡的触发机理及动力学特性研究,一种抑制离心泵叶轮入口回流涡的机构
离心泵叶轮内失速涡的触发机理及动力学特性研究,一种离心泵半开式叶轮
离心泵叶轮内失速涡的触发机理及动力学特性研究,低比转速离心泵叶轮瞬态空化特性分析
离心泵叶轮内失速涡的触发机理及动力学特性研究,单叶片离心泵蜗壳内二次流的非定常特性研究
离心泵叶轮内失速涡的触发机理及动力学特性研究,一种平面抛光方法
离心泵叶轮内失速涡的触发机理及动力学特性研究,喉管与喷嘴截面积比对射流式鱼泵输送性能及鱼损的影响
冠心病患者健康行为模型及移动健康管理模式的构建与实证研究,不同冠心病患者对健康管理App的需求分析
冠心病患者健康行为模型及移动健康管理模式的构建与实证研究,The effect of bystander cardiopulmonary in increasing survival rate of out-of-hospital cardiac arrest is mainly mediated by survived event
冠心病患者健康行为模型及移动健康管理模式的构建与实证研究,基于多元信息融合的健康生活方式指导系统及方法
冠心病患者健康行为模型及移动健康管理模式的构建与实证研究,"Competencies Related to Informatics and Information Management for Practicing Nurses in Select Countries in Asia. In Judy Murphy, William Goossen, Patrick Weber (Eds). Forecasting Informatics Competencies for Nurses in the Future of Connected Health."
冠心病患者健康行为模型及移动健康管理模式的构建与实证研究,用于患者服药远程监控的服药提醒系统及方法
冠心病患者健康行为模型及移动健康管理模式的构建与实证研究,用于提供冠心病延续性护理的远程医疗系统及方法
冠心病患者健康行为模型及移动健康管理模式的构建与实证研究,移动健康应用进展
冠心病患者健康行为模型及移动健康管理模式的构建与实证研究,2019中国智慧健康医疗创新成果奖
冠心病患者健康行为模型及移动健康管理模式的构建与实证研究,用于健康行为干预的云端管理数据库建立方法及系统
冠心病患者健康行为模型及移动健康管理模式的构建与实证研究,"Adherence to Recommended Lifestyle and Medical Therapies in Persons with Coronary Heart Disease in Beijing, China"
冠心病患者健康行为模型及移动健康管理模式的构建与实证研究,"Development of theory- and evidence-based, individualized, and intelligent interventions to promote the adoption and maintenance of healthy diet and physical activity in patients with coronary heart disease"
冠心病患者健康行为模型及移动健康管理模式的构建与实证研究,No improvement in outcome of out-of-hospital cardiac arrest during 2011-2016 and its associated factors in China
冠心病患者健康行为模型及移动健康管理模式的构建与实证研究,基于移动智能终端的辅助戒烟智能规划系统及方法
高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究,基于Abaqus平台疲劳损伤与寿命评估方法
高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究,复杂条件下高频振动疲劳试验技术与应用
高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究,复杂荷载与环境下超长寿命疲劳测试技术及工程应用
高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究,TC17合金电子束焊接接头高周疲劳失效行为研究
