项目名称,负责人,依托单位,成果标题,成果类型,成果作者
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,28.一种Gaia系统中的多作业合并与优化系统及方法,类型：专利,作者：陈德阳;王国仁;赵宇海;郑军;李荣华
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,29.Gaia系统中基于资源反馈的负载均衡任务调度方法及系统,类型：专利,作者：李文佳;王国仁;赵宇海;郑军;李博扬
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,30.一种Gaia系统中的多表连接优化方法,类型：专利,作者：宗枫博;王国仁;赵宇海;郑军
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,31.An improved ant colony optimization with an automatic updating mechanism for constraint satisfaction problems,类型：期刊论文,作者：Boxin Guan;Yuhai Zhao;Yuan Li
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,32.SAMA: A Fast Self-Adaptive Memetic Algorithm for Detecting SNP-SNP Interactions Associated with Disease,类型：期刊论文,作者：Ying Yin;Boxin Guan;Yuhai Zhao;Yuan Li
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,33.Distributed Density Peaks Clustering Revisited,类型：会议论文,作者：Jing Lu;Yuhai Zhao;Kian-Lee Tan;Zhengkui Wang
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,34.Finding Global Contrast Core Subgraphs in Large-Scale Genetic Association Study,类型：期刊论文,作者：Lei Qiu;Yuan Li;Jing Sun;Jinsheng Liu;Yuhai Zhao
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,35.A differential evolution based feature combination selection algorithm for high-dimensional data,类型：期刊论文,作者：Boxin Guan;Yuhai Zhao;Ying Yin;Yuan Li
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,36.一种基于垂直分解的并行频繁闭序列挖掘方法,类型：专利,作者：赵宇海;印莹;王国仁;李晨光;毕天驰
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,37.StLiter: A Novel Algorithm to Iteratively Build the Compacted de Bruijn Graph from Many Complete Genomes.,类型：期刊论文,作者：Changong Yu;Cheng Chang;Yuhai Zhao;Keming Mao;Guoren Wang
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,38.Genetic algorithm with a crossover elitist preservation mechanism for protein-ligand docking,类型：期刊论文,作者：Guan Boxin;Zhang Changsheng;Ning Jiaxu
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,39.基于多目标演化聚类的大规模动态网络社区检测,类型：期刊论文,作者：李赫;印莹;李源;赵宇海;王国仁
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,40.一种Gaia系统中的统一表达API调用系统及调用方法,类型：专利,作者：李文佳;赵宇海;王国仁;季航旭;李博扬
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,41.An Efficient Method for Modeling Nonoccurring Behaviors by Negative Sequential Patterns With Loose Constraints.,类型：期刊论文,作者：Ping Qiu;Yongshun Gong;Yuhai Zhao;Longbing Cao;Chengqi Zhang;Xiangjun Dong
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,42.面向Flink迭代作业的动态资源分配策略,类型：期刊论文,作者：岳晓飞;史岚;赵宇海;季航旭;王国仁
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,43.基于频率的Read Mapping种子选择算法,类型：期刊论文,作者：马海涛;祁实;于长永;赵宇海
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,44.Towards k-vertex connected component discovery from large networks,类型：期刊论文,作者：Li Yuan;Wang Guoren;Zhao Yuhai;Zhu Feida;Wu Yubao
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,45.一种基于乐观容错方法的迭代器,类型：专利,作者：郭文鹏;赵宇海;王国仁;季航旭;李博扬
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,46.一种Gaia中支持多作业并行执行的代理方法,类型：专利,作者：王子萌;王国仁;赵宇海;郑军;李荣华
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,47.基于解耦概要图的大规模图数据高效分布式挖掘算法,类型：期刊论文,作者：李玲;印莹;赵宇海;王国仁;董祥军
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,48.一种Gaia系统中支持流数据与批数据交互的数据交换系统,类型：专利,作者：赵恒泰;王国仁;赵宇海;郑军;李荣华
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,49.Multi-graph Multi-label Learning with Dual-granularity Labeling,类型：会议论文,作者：Yuhai Zhao;Yejiang Wang;Zhengkui Wang;Chenqi Zhang
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,50.Effective and Efficient Steiner Maximum Path-Connected Subgraph Search in Large Social Internet of Things,类型：期刊论文,作者：Xiaolin Fan;Yuan Li;Jing Sun;Yuhai Zhao;Guoren Wang
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,51.一种Gaia系统中面向迭代计算的并行度动态调整方法,类型：专利,作者：季航旭;韦刘国;赵宇海;王国仁;吴刚;李博扬
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,52.Online Runtime Prediction Method for Distributed Iterative Jobs,类型：会议论文,作者：岳晓飞;史岚;赵宇海;季航旭;王国仁
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,53.一种自适应任务调度器及方法,类型：专利,作者：汪志峰;赵宇海;王国仁;季航旭;李博扬
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,54.Gaia集群中面向数据分布特征的维表缓存管理方法及系统,类型：专利,作者：姜苏;王国仁;赵宇海;郑军;李博扬
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,55.LLR: Learning Learning Rates by LSTM for Training Neural Networks,类型：期刊论文,作者：Changyong Yu;Xin Qi;Haitao Ma;Xin He;Cuirong Wang;Yuhai Zhao
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,56.一种带有长度和位置约束的字符串索引方法,类型：期刊论文,作者：于长永;高明;柏禄一;赵宇海
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,57.LLR: Learning learning rates by LSTM for training neural networks,类型：期刊论文,作者：Changyong Yu;Xin Qi;Haitao Ma;Xin He;Cuirong Wang;Yuhai Zhao
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,58.Super-Graph Classification Based on Composite Subgraph Features and Extreme Learning Machine,类型：期刊论文,作者：Pang Jun;Zhao Yuhai;Xu Jia;Gu Yu;Yu Ge
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,59.一种基于受限恢复的图迭代器及方法,类型：专利,作者：韦刘国;赵宇海;王国仁;季航旭;李博扬
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,60.Detecting Disease-Associated SNP-SNP Interactions Using Progressive Screening Memetic Algorithm,类型：期刊论文,作者：Boxin Guan;Yuhai Zhao;Ying Yin;Yuan Li
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,61.一种Gaia集群中面向节点间异构带宽的数据分发方法,类型：专利,作者：马卿云;王国仁;赵宇海;郑军;李荣华
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,62.一种分布式异构带宽环境下的高效数据分区方法,类型：期刊论文,作者：马卿云;季航旭;赵宇海;毛克明;王国仁
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,63.Efficient continual cohesive subgraph search in large temporal graphs,类型：期刊论文,作者：Yuan Li;Jinsheng Liu;Jing Sun;Huiqun Zhao;Yuhai Zhao;Guoren Wang
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,64.Gaia系统中面向融合计算的数据缓存装置与系统,类型：专利,作者：赵恒泰;赵宇海;王国仁;季航旭;李博扬
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,65.一种优化网络多连接的系统和方法,类型：专利,作者：汪诗烨;赵宇海;王国仁;季航旭;李博扬
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,66.Self-Adjusting Ant Colony Optimization Based on Information Entropy for Detecting Epistatic Interactions,类型：期刊论文,作者：Guan Boxin;Zhao Yuhai
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,67.一种基于Gaia系统的数据分类方法,类型：专利,作者：季航旭;赵宇海;王国仁;吴刚;李博扬
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,68.面向大规模高维序列数据的交互特征并行选择方法,类型：专利,作者：赵宇海;印莹;郭文鹏;王国仁;祁宏伟
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,69.DESeeker: Detecting Epistatic Interactions Using a Two-Stage Differential Evolution Algorithm,类型：期刊论文,作者：Guan Boxin;Zhao Yuhai;Li Yuan
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,70.Multi-objective evolutionary clustering for large-scale dynamic community detection,类型：期刊论文,作者：Ying Yin;Yuhai Zhao;He Li;Xiangjun Dong
,,,,,
面向智能制造的人机合作伺服系统自律控制研究,吴建华,上海交通大学,1.可调间隙实验平台,类型：专利,作者：吴建华;韩勇;刘超;杨启杰;熊振华
面向智能制造的人机合作伺服系统自律控制研究,吴建华,上海交通大学,2.Perfectly matched closed loop dynamics based on IP controller for bi-axial contour following,类型：期刊论文,作者：Jianhua Wu;Zhenhua Xiong;Han Ding
面向智能制造的人机合作伺服系统自律控制研究,吴建华,上海交通大学,3.Static model analysis and identification for serial articulated manipulators,类型：期刊论文,作者：Han Yong;Wu Jianhua;Liu Chao;Xiong Zhenhua
面向智能制造的人机合作伺服系统自律控制研究,吴建华,上海交通大学,4.A Teaching System for Serial Robots Under ROS-I,类型：会议论文,作者：Shan Tengfei;Ding Cheng;Liu Chao;Zhuang ChunGang;Wu Jianhua;Xiong Zhenhua
面向智能制造的人机合作伺服系统自律控制研究,吴建华,上海交通大学,5.Backlash identification for PMSM servo system based on relay feedback,类型：期刊论文,作者：Han Yong;Liu Chao;Wu Jianhua
面向智能制造的人机合作伺服系统自律控制研究,吴建华,上海交通大学,6.一种机器人快速示教分拣系统和方法,类型：专利,作者：吴建华;丁铖;熊振华;盛鑫军;朱向阳
面向智能制造的人机合作伺服系统自律控制研究,吴建华,上海交通大学,7.一种人机安全防护系统和防护方法,类型：专利,作者：吴建华;丁铖;单腾飞;熊振华;朱向阳
面向智能制造的人机合作伺服系统自律控制研究,吴建华,上海交通大学,8.Force ripple compensation of the directly-driven linear motors via iterative tuning feed-forward controller,类型：期刊论文,作者：Wu Jianhua;Liu Chao;Liu YongJiang;Xiong Zhenhua;Ding Han
面向智能制造的人机合作伺服系统自律控制研究,吴建华,上海交通大学,9.Cascaded proportional–integral–derivative controller parameters tuning for contour following improvement,类型：期刊论文,作者：Jianhua Wu;Jian Hu;Zhenhua Xiong;Han Ding
面向智能制造的人机合作伺服系统自律控制研究,吴建华,上海交通大学,10.A New Method for Sensorless Collision Detection on the Servo Level,类型：会议论文,作者：Yong Han;Jianhua Wu;Zhenhua Xiong
面向智能制造的人机合作伺服系统自律控制研究,吴建华,上海交通大学,11.基于继电反馈的伺服系统间隙辨识方法,类型：专利,作者：吴建华;韩勇;刘超;杨启杰;熊振华
面向智能制造的人机合作伺服系统自律控制研究,吴建华,上海交通大学,12.一种基于指点杆的多通道触觉传感器及相应的控制方法,类型：专利,作者：韩勇;熊振华;吴建华
面向智能制造的人机合作伺服系统自律控制研究,吴建华,上海交通大学,13.Servo system identification based on curve fitting to phase-plane trajectory,类型：期刊论文,作者：Xiaoli Shi;Yong Han;Jianhua Wu;Zhenhua Xiong
面向智能制造的人机合作伺服系统自律控制研究,吴建华,上海交通大学,14.一种基于继电器位置反馈相轨迹曲线拟合的伺服系统辨识方法,类型：专利,作者：吴建华;史晓立;韩勇;熊振华;朱向阳
面向智能制造的人机合作伺服系统自律控制研究,吴建华,上海交通大学,15.Design and Implementation of Data Communication Module for a Multi-motor Drive and Control Integrated System Based on DSP,类型：会议论文,作者：Yang Qijie;Liu Chao;Wu Jianhua;Sheng Xinjun;Xiong Zhenhua
面向智能制造的人机合作伺服系统自律控制研究,吴建华,上海交通大学,16.A Reconfigurable Pick-Place System Under Robot Operating System,类型：会议论文,作者：Ding Cheng;Wu Jianhua;Xiong Zhenhua;Liu Chao
面向智能制造的人机合作伺服系统自律控制研究,吴建华,上海交通大学,17.A Framework of Multi-channel Touch Sensing with Multiple Trackpoints,类型：会议论文,作者：Han Yong;Wu Jianhua;Xiong Zhenhua
面向智能制造的人机合作伺服系统自律控制研究,吴建华,上海交通大学,18.Servo performance improvement through iterative tuning feedforward controller with disturbance compensator,类型：期刊论文,作者：Jianhua Wu;Yong Han;Zhenhua Xiong;Han Ding
面向智能制造的人机合作伺服系统自律控制研究,吴建华,上海交通大学,19.一种基于RTX+DSP的多轴运动控制器通信系统,类型：专利,作者：吴建华;刘超;杨启杰;熊振华;盛鑫军
面向智能制造的人机合作伺服系统自律控制研究,吴建华,上海交通大学,20.一种机器人动力学模型辨识方法,类型：专利,作者：吴建华;熊振华;韩勇;史晓立;朱向阳
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,1.BPSK Modulation-Based Local Oscillator-Free IQ Demodulation for Millimeter Wave Imaging,类型：期刊论文,作者：Qibin Zheng;Yanpeng Jian;Lei Wang;Ziyue Ma;Xinyu Li;Chaofan Song;Ping Li;Li Ding
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,2.Millimeter-Wave SAR Sparse Imaging With 2-D Spatially Pseudorandom Spiral-Sampling Pattern,类型：期刊论文,作者：Shuxian Wu;Li Ding;Ping Li;Yinwei Li;Lin Chen;Yiming Zhu
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,3.Theoretical Investigation on Microcavity Coupler for Terahertz Quantum-Well Infrared Photodetectors,类型：期刊论文,作者：Xuguang Guo;Yuxiang Ren;Guixue Zhang;Anqi Yu;Xiaoshuang Chen;Yiming Zhu
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,4.Study of Phase Error Reconstruction and Motion Compensation for Terahertz SAR With Sparsity-Promoting Parameter Estimation,类型：期刊论文,作者：Shi Shuyun;Li Chao;Hu Jianmin;Zhang Xiaojuan;Fang Guangyou
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,5.Efficient Phase Shift Migration for MIMO 2-D Imaging in Millimeter-Wave Band,类型：期刊论文,作者：Guan Yang;Chao Li;Hang Gao;Hongwei Li;Shen Zheng;Guangyou Fang
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,6.一种提高太赫兹被动成像单元灵敏度的调 制解调方法,类型：专利,作者：郑其斌;丁丽;李银伟;赵旋;李星;邱政宣;王晓鲲;林文褀;卜朝晖;李萍;朱亦鸣
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,7.基于MIMO 阵列合成孔径的三维快速成像方法及装置,类型：专利,作者：李超;高航;吴世有;方广有
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,8.GAN-Based Focusing-Enhancement Method for Monochromatic Synthetic Aperture Imaging,类型：期刊论文,作者：Guoyao Ye;Zixin Zhang;Li Ding;Yinwei Li;Yiming Zhu
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,9.用于目标跟踪的测角方法,类型：专利,作者：李超;李宏伟;吴世有;高航;方广有
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,10.基于伪表面等离激元三维堆叠结构的传感器,类型：专利,作者：郭旭光;郑兴国;朱亦鸣
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,11.一种基于矩阵填充的太赫兹稀疏成像设计,类型：专利,作者：丁丽;李萍;朱亦鸣;吴淑娴;张紫欣
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,12.Estimation of High-Frequency Vibration Parameters for Terahertz SAR Imaging Based on FrFT With Combination of QML and RANSAC,类型：期刊论文,作者：Yinwei Li;Qi Wu;Jiawei Wu;Li Ping;Qibin Zheng;Yiming Zhu
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,13.A High Frequency Vibration Compensation Approach For Terahertz SAR Based on Sinusoidal Frequency Modulation Fourier Transform,类型：期刊论文,作者：Shuyun Shi;Chao Li;Jianmin Hu;Xiaojuan Zhang;Guangyou Fang
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,14.Tunable Transmissive Terahertz Linear Polarizer for Arbitrary Linear Incidence Based on Low-Dimensional Metamaterials,类型：期刊论文,作者：Zhenyu Yang;Dahai Yu;Huiping Zhang;Anqi Yu;Xuguang Guo;Yuxiang Ren;Xiaofei Zang;Alexei V. Balakin;Alexander P. Shkurinov
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,15.一种基于单站阵型映射到MIMO阵型的设计 方法,类型：专利,作者：丁丽;李银伟;李萍;朱亦鸣;尹丽娟
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,16.Terahertz dual-comb spectroscopy: A comparison between time- and frequency-domain operation modes,类型：期刊论文,作者：Hui Fu;Xingle Jiang;Jingrui Wu;Liang Qiu;Yinghao Yuan;Xuguang Guo;Yiming Zhu
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,17.Design of a Multiple-beam Cassegrain Antenna with Quasi-optical Isolator at 200 GHz for Target Tracking,类型：期刊论文,作者：Hongwei Li;Chao Li;Shen Zheng;Hang Gao;Guangyou Fang
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,18.基于布鲁斯特角测量的太赫兹物质介电常数测量系统,类型：专利,作者：丁丽;王喜旺;夏克文;朱亦鸣
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,19.Realizing frequency controlled wide-angle beam scanning with an artificial electromagnetic structure in the terahertz band,类型：期刊论文,作者：Shen Zheng;Chao Li;Shichao Li;Xiaojuan Zhang;Guangyou Fang
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,20.MIMO-SAR 3-D Imaging Based on Range Wavenumber Decomposing,类型：期刊论文,作者：Yang Guan;Li Chao;Wu Shiyou;Liu Xiaojun;Fang Guangyou
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,21.Bias-Polarity-Dependent Photocurrent Spectra of Terahertz Stepped-Quantum-Well Photodetectors,类型：期刊论文,作者：GuiXue Zhang;XuGuang Guo;HaiXia Wang;DiXiang Shao;ZhangLong Fu;ZhiYong Tan;Hua Li;JunCheng Cao;YiMing Zhu
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,22.Achievement of frequency-controlled wide-angle beam scanning antenna with metasurface at 0.3 THz,类型：期刊论文,作者：Zheng Shen;Li Chao;Zhang Xiaojuan;Fang Guangyou
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,23.Photoconductive antenna as local oscillator in terahertz frequency measurement: heterodyne efficiency and bias effect,类型：期刊论文,作者：X. G. Guo;T. J. Shu;G. J. You;L. Ding;Y. M. Zhu
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,24.Motion Compensation for Terahertz Synthetic Aperture Radar Based on Subaperture Decomposition and Minimum Entropy Theorem,类型：期刊论文,作者：Shi Shuyun;Li Chao;Hu Jianmin;Zhang Xiaojuan;Fang Guangyou
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,25.Study of Automatic Detection of Concealed Targets in Passive Terahertz Images for Intelligent Security Screening,类型：期刊论文,作者：Li Rui;Chao Li;Hongwei Li;Shiyou Wu;Guangyou Fang
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,26.Phase Shift Migration With SIMO Superposition for MIMO-Sidelooking Imaging at Terahertz Band,类型：期刊论文,作者：Guan Yang;Chao Li;Hang Gao;Guangyou Fang
非合作安检太赫兹快速高分辨率成像研究,郭旭光,中国科学院空天信息创新研究院,27.成像装置、方法、电子设备及存储介质,类型：专利,作者：李超;高航;吴世有;方广有
