标题,g_li1,g_cont_left,g_cont_left4,g_cont_left5
"
							36.不锈钢柜体（细沙纹）",外观设计 ,申请(专利权)人： 陈丽锦 ,分类号： 06-04(11) ,简要说明：1．本外观设计产品的名称：不锈钢柜体（细沙纹）。2．本外观设计产品的用途：本外观设计产品用于作为柜子。3．本外观设计产品的设计要点：产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。5．省略视图：仰视图。
"
							37.高值耗材柜（挂架式）",外观设计 ,申请(专利权)人： 上海擅韬信息技术有限公司 ,分类号： 06-04(11) ,简要说明：1．本外观设计产品的名称：高值耗材柜（挂架式）。2．本外观设计产品的用途：本外观设计产品用于存放高值耗材，如医疗用导管、导丝。3．本外观设计产品的设计要点：产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。5．省略视图：因后视图无设计要点故省略后视图。
"
							38.梳妆台（COM‑COB093）",外观设计 ,申请(专利权)人： 美克国际家居用品股份有限公司 ,分类号： 06-05(10) ,简要说明：1．本外观设计产品的名称：梳妆台（COM‑COB093）。2．本外观设计产品的用途：本外观设计产品用于家居。3．本外观设计产品的设计要点：形状与图案的结合。4．最能表明本外观设计设计要点的图片或照片：打开状态图。5．省略视图：右视图与左视图对称，故省略右视图；仰视图为不常见视图，故省略仰视图。
"
							39.椅子脚（AR）",外观设计 ,申请(专利权)人： 美力菲家具有限公司 ,分类号： 06-06(10) ,简要说明：1．本外观设计产品的名称：椅子脚（AR）。2．本外观设计产品的用途：本外观设计产品用于椅子配件。3．本外观设计产品的设计要点：整体形状。4．最能表明本外观设计设计要点的图片或照片：立体图。5．省略视图：后视图与主视图对称，省略后视图；右视图与左视图对称，省略右视图。
"
							40.五轮转椅支撑脚(HQ‑002)",外观设计 ,申请(专利权)人： 安吉汉强家具有限公司 ,分类号： 06-06(11) ,简要说明：1、本外观设计的产品名称：五轮转椅支撑脚(HQ‑002)。2、本外观设计的产品用途：椅子的支撑脚。3、本外观设计的产品的设计要点在于：产品的形状。4、请求保护色彩。5、本外观设计的产品最能表明的图片或者照片为：立体图。
"
							41.床架（H090B）",外观设计 ,申请(专利权)人： 何相成 ,分类号： 06-06(11) ,简要说明：1．本外观设计产品的名称：床架（H090B）。2．本外观设计产品的用途：本外观设计产品用于家具。3．本外观设计产品的设计要点：产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。5．省略视图：后视图无设计要点，省略后视图；俯视图无设计要点，省略俯视图；仰视图不常见，省略仰视图。
"
							42.自行车座垫(三)",外观设计 ,申请(专利权)人： 伊斯姆座垫有限责任公司 ,分类号： 06-09(10) ,简要说明：1．本外观设计产品的名称：自行车座垫（三）。2．本外观设计产品的用途：本外观设计产品用于自行车上使用的座垫。3．本外观设计产品的设计要点：在于自行车座垫的形状。4．最能表明本外观设计设计要点的图片或照片：设计1立体图。5．指定基本设计：设计1。
"
							43.沙滩垫",外观设计 ,申请(专利权)人： 上海宇强品牌策划有限公司 ,分类号： 06-09(11) ,简要说明：1．本外观设计产品的名称：沙滩垫。2．本外观设计产品的用途：本外观设计产品用于在沙滩游玩或休息使用的垫子。3．本外观设计产品的设计要点：该沙滩垫上的图案。4．最能表明本外观设计设计要点的图片或照片：主视图。
"
							44.手提饮水杯盖（镶嵌式）",外观设计 ,申请(专利权)人： 徐苏贞 ,分类号： 07-01(11) ,简要说明：1．本外观设计产品的名称：手提饮水杯盖（镶嵌式）。2．本外观设计产品的用途：本外观设计产品用于水杯和运动水壶上。3．本外观设计产品的设计要点：设计要点在于形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							45.塑料杯（钻石条形纹）",外观设计 ,申请(专利权)人： 杨文斌 ,分类号： 07-01(10) ,简要说明：1．本外观设计产品的名称：塑料杯（钻石条形纹）；2．本外观设计产品的用途：本外观设计产品用于装茶水、饮料等液体；3．本外观设计产品的设计要点：在于产品的形状和杯体表面的图案；4．最能表明本外观设计设计要点的图片或照片：立体图；5．省略视图：后视图和主视图相同，省略后视图；右视图和左视图相同，省略右视图。
"
							46.双斜扣单格锁合餐具",外观设计 ,申请(专利权)人： 韶能集团广东绿洲纸模包装制品有限公司 ,分类号： 07-01(10) ,简要说明：1．本外观设计产品的名称：双斜扣单格锁合餐具。2．本外观设计产品的用途：本外观设计产品用于饭盒。3．本外观设计产品的设计要点：在于产品的图案及其形状。4．最能表明本外观设计设计要点的图片或照片：主视图。
"
							47.饭盒袋（004）",外观设计 ,申请(专利权)人： 马美霞 ,分类号： 07-01(10) ,简要说明：1.本外观设计产品的名称：饭盒袋（004）。2.本外观设计产品的用途：用于盛装饭盒。3.本外观设计产品的设计要点：在于形状。4.最能表明本外观设计产品设计要点的图片或照片：立体图1。5.省略其他无设计要点的视图。
"
							48.水杯",外观设计 ,申请(专利权)人： 浙江可可萌婴童用品有限公司 ,分类号： 07-01(11) ,简要说明：1．本外观设计产品的名称：水杯。2．本外观设计产品的用途：一种盛装液体的容器，如水、饮料等。3．本外观设计的设计要点：整体形状。4．最能表明设计要点的图片或者照片：主视图。
"
							49.浓缩咖啡机",外观设计 ,申请(专利权)人： 布瑞威利私人有限公司 ,分类号： 07-02(10) ,简要说明：1．本外观设计产品的名称：浓缩咖啡机。2．本外观设计产品的用途：本外观设计产品用于制作咖啡等。3．本外观设计产品的设计要点：产品形状。4．最能表明本外观设计设计要点的图片或照片：立体图1。
"
							50.烤盘（九）",外观设计 ,申请(专利权)人： 宇宙出入口有限公司 ,分类号： 07-02(10) ,简要说明：1．本外观设计产品的名称：烤盘（九）。2．本外观设计产品的用途：本外观设计产品用于作为盛装食物的容器，尤其适合用于在微波炉、烤箱、冰箱中盛装食物、厨房日常储存食物以及外出携带食物。3．本外观设计产品的设计要点：整体外形。4．最能表明本外观设计设计要点的图片或照片：立体图。5．整体外观设计产品除把手为硅胶外，其他主体材质为玻璃。
"
							51.便携式手工操作咖啡机（Nano）",外观设计 ,申请(专利权)人： 佛山市顺德区华酷电器科技有限公司 ,分类号： 07-04(11) ,简要说明：1．本外观设计产品的名称：便携式手工操作咖啡机（Nano）；2．本外观设计产品的用途：本外观设计产品用于手工操作冲泡咖啡粉、咖啡包、咖啡胶囊等咖啡；3．本外观设计产品的设计要点：产品的整体造型；4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							52.蔬菜机(切条/切丁)",外观设计 ,申请(专利权)人： 周忠结 ,分类号： 07-04(11) ,简要说明：1、本外观设计产品的名称：蔬菜机（切条/切丁）。2、本外观设计产品的用途：用于对蔬菜进行切条或切丁。3、本外观设计产品的设计要点在于外形。4、立体图能表明设计要点。5、本外观设计产品的后视图、右视图和仰视图不涉及设计要点，故省略后视图、右视图和仰视图。
"
							53.筷子盒",外观设计 ,申请(专利权)人： 福建双羿竹木发展有限公司 ,分类号： 07-06(10) ,简要说明：1．本外观设计产品的名称：筷子盒。2．本外观设计产品的用途：本外观设计产品用于盛放筷子。3．本外观设计产品的设计要点：在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：主视图。
"
							54.瓶座",外观设计 ,申请(专利权)人： 青岛海尔股份有限公司 ,分类号： 07-06(11) ,"简要说明：1.外观设计产品的名称：瓶座。2.外观设计产品的用途：配置于冰箱、冷藏柜等内部,用于放置饮料瓶等。3.外观设计的设计要点：产品的形状。4.最能表明设计要点的图片或照片：立体图。5.其他：立体图中A、B部为透明。"
"
							55.奶瓶收纳盒",外观设计 ,申请(专利权)人： 孙伟荣 ,分类号： 07-07(11) ,简要说明：1．本外观设计产品的名称：奶瓶收纳盒。2．本外观设计产品的用途：本外观设计产品用于奶瓶的收纳，具有防尘、滤水的功能。3．本外观设计产品的设计要点：产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							56.淋浴杆托盘",外观设计 ,申请(专利权)人： 慈溪市宇霖洁具有限公司 ,分类号： 07-99(10) ,简要说明：1．本外观设计产品的名称：淋浴杆托盘。2．本外观设计产品的用途：本外观设计产品用于放置沐浴液、洗发露、香皂等洗浴用品。3．本外观设计产品的设计要点：产品的形状。4．最能表明本外观设计设计要点的图片或照片：主视图。5．省略视图：右视图与左视图对称，省略右视图。
"
							57.毛球修剪器(JS‑008)",外观设计 ,申请(专利权)人： 周沫娜 ,分类号： 08-03(11) ,简要说明：1、该外观设计的产品名称是毛球修剪器(JS‑008)；2、该外观设计产品的用途是去除衣物表面的毛球；3、该外观设计产品的设计要点为形状；4、最能表明本外观设计设计要点的图片或照片：立体图。
"
							58.斜切割机（HDA‑1508I）",外观设计 ,申请(专利权)人： 弘大集团有限公司 ,分类号： 08-03(11) ,简要说明：1．本外观设计产品的名称：斜切割机（HDA‑1508I）。2．本外观设计产品的用途：本外观设计产品用于裁切铝型材、塑料型材等。3．本外观设计产品的设计要点：该产品的外观形状。4．最能表明本外观设计设计要点的图片或照片：立体图。5．省略视图：仰视图无设计要点，省略仰视图。
"
							59.磨刀器（103N）",外观设计 ,申请(专利权)人： 王建华 ,分类号： 08-05(10) ,简要说明：1．本外观设计产品的名称：磨刀器（103N）。2．本外观设计产品的用途：本外观设计产品用于便携式多功能磨刃工具。3．本外观设计产品的设计要点：产品的形状、图案，及其结合。4．最能表明本外观设计设计要点的图片或照片：主视图。
"
							60.短途微距交通工具",外观设计 ,申请(专利权)人： 北京联动天翼科技股份有限公司 ,分类号： 08-05(11) ,简要说明：1、外观设计产品的名称：短途微距交通工具。2、外观设计产品的用途：用于单人驾驶的交通工具。3、外观设计的设计要点在于：形状。4、表明设计要点的图片或照片：立体图1。
"
							61.安全锁（旋转对开安全锁）",外观设计 ,申请(专利权)人： 刘诗威 ,分类号： 08-07(11) ,简要说明：1．本外观设计产品的名称：安全锁（旋转对开安全锁）。2．本外观设计产品的用途：本外观设计产品用于一种家居防护安全锁，用来锁住橱柜、抽屉、冰箱、门等。3．本外观设计产品的设计要点：在于整体的外观形状以及样式。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							62.悬置支架（2）",外观设计 ,申请(专利权)人： 芜湖佳景科技有限公司 ,分类号： 08-08(10) ,简要说明：1．本外观设计产品的名称：悬置支架（2）。2．本外观设计产品的用途：本外观设计产品用于支撑悬置软垫。3．本外观设计产品的设计要点：在于本产品整体及局部形状的结合。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							63.真空发生器（PB‑B）",外观设计 ,申请(专利权)人： 派恩博自动化科技浙江有限公司 ,分类号： 08-08(11) ,简要说明：1．本外观设计产品的名称：真空发生器（PB‑B）。2．本外观设计产品的用途：本外观设计产品用于产生负压及利用真空抽吸夹紧产品或工件。3．本外观设计产品的设计要点：产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							64.汽车零部件喷涂加工的双L形通用固定装置",外观设计 ,申请(专利权)人： 北京光华荣昌汽车部件有限公司 ,分类号： 08-08(11) ,简要说明：1．本外观设计产品的名称：汽车零部件喷涂加工的双L形通用固定装置。2．本外观设计产品的用途：本外观设计产品用于汽车零部件喷涂加工的夹具。3．本外观设计产品的设计要点：双L形通用固定装置由底座及卡扣组成；本外观设计的要点是主视图所示的结构图案。4．最能表明本外观设计设计要点的图片或照片：主视图。5．本外观设计提供主视图、左视图、右视图、俯视图、仰视图、后视图和立体参考图；还提供底座立体参考图及卡扣立体参考图。
"
							65.香水瓶（新包包3）",外观设计 ,申请(专利权)人： 刘翠群 ,分类号： 09-01(11) ,简要说明：1．本外观设计产品的名称：香水瓶（新包包3）。2．本外观设计产品的用途：本外观设计产品用于容纳香水。3．本外观设计产品的设计要点：在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							66.油瓶",外观设计 ,申请(专利权)人： 盈江林立油茶有限责任公司 ,分类号： 09-01(10) ,简要说明：1．本外观设计产品的名称：油瓶。2．本外观设计产品的用途：本外观设计产品用于包装食用油。3．本外观设计产品的设计要点：产品的形状、图案及其结合。4．最能表明本外观设计设计要点的图片或照片：主视图。5．请求保护的外观设计包含色彩。
"
							67.矿泉水瓶",外观设计 ,申请(专利权)人： 莆田市福源饮用水有限公司 ,分类号： 09-01(10) ,简要说明：1．本外观设计产品的名称：矿泉水瓶。2．本外观设计产品的用途：用于盛装饮用水。3．本外观设计产品的设计要点：整体造型。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							68.防腐罐(50m3)",外观设计 ,申请(专利权)人： 东莞市久佳防腐设备有限公司 ,分类号： 09-02(11) ,简要说明：1．本外观设计产品的名称：防腐罐 (50m3)。2．本外观设计产品的用途：防腐储存和运输，可用于石化、环保、酿造、医药、食品等行业。3．本外观设计产品的设计要点：产品的整体外观，尤其是罐子顶部结构和侧部强化结构。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							69.包装箱（锐匠二）",外观设计 ,申请(专利权)人： 吴建国;郭建恩;马国杰;田士贤;刘石磊;刘晓磊;孟胜强 ,分类号： 09-03(10) ,简要说明：1、外观设计产品名称：包装箱(锐匠二)。2、外观设计产品用途：钉子的外包装。3、外观设计的设计要点：包装箱上的图案。4、指定设计1主视图用于出版专利公报。5、设计1为基本设计。6、设计1、设计2、设计3、设计4、设计5、设计6、设计7的后视图与主视图相同，省略后视图。7、设计1、设计2、设计3、设计4、设计5、设计6、设计7的右视图与左视图相同，省略右视图。8、设计1、设计2、设计3、设计4、设计5、设计6、设计7的仰视图无设计要点，省略仰视图。
"
							70.盒子(KW‑0006)",外观设计 ,申请(专利权)人： 汕头市三马塑胶制品有限公司 ,分类号： 09-03(10) ,简要说明：1．本外观设计产品的名称：盒子(KW‑0006)。2．本外观设计产品的用途：用于盛放食物。3．本外观设计产品的设计要点：产品的形状、图案及其结合。4．最能表明本外观设计要点的图片或照片：立体图。5．其他视图无设计要点，省略其他视图。
"
							71.纸箱",外观设计 ,申请(专利权)人： 上海金星包装材料有限公司 ,分类号： 09-03(10) ,简要说明：1．本外观设计产品的名称：纸箱。2．本外观设计产品的用途：本外观设计产品用于储存、存放乌龟，便于运输。3．本外观设计产品的设计要点：产品的形状、图案以及形状与图案的结合。4．最能表明本外观设计设计要点的图片或照片：主视图。
"
							72.护栏门窗铰轴管连接构件",外观设计 ,申请(专利权)人： 曲向阳 ,分类号： 09-03(10) ,简要说明：1．本外观设计产品的名称：护栏门窗铰轴管连接构件。2．本外观设计产品的用途：本外观设计产品用于连接管材，构成分隔隔离空间的围栏或护栏门窗的管连接件，本管连接件具有360°铰轴转动功能。3．本外观设计产品的设计要点：产品形状。4．最能表明本外观设计设计要点的图片或照片：立体图1。
